Sensor Number,Time Index,Moment,Speed
0,0,0,0.3723592758178711
0,0,1,0.24522121250629425
0,0,2,0.4960612654685974
0,0,3,0.652063250541687
0,0,4,0.11258511245250702
0,0,5,0.5311102867126465
0,0,6,0.5091187357902527
0,0,7,0.47132086753845215
0,0,8,0.4218400716781616
0,0,9,0.39091458916664124
0,0,10,0.47613146901130676
0,0,11,0.5640973448753357
0,1,0,0.24522121250629425
0,1,1,0.4960612654685974
0,1,2,0.652063250541687
0,1,3,0.11258511245250702
0,1,4,0.5311102867126465
0,1,5,0.5091187357902527
0,1,6,0.47132086753845215
0,1,7,0.4218400716781616
0,1,8,0.39091458916664124
0,1,9,0.47613146901130676
0,1,10,0.5640973448753357
0,1,11,-0.002182754222303629
0,2,0,0.4960612654685974
0,2,1,0.652063250541687
0,2,2,0.11258511245250702
0,2,3,0.5311102867126465
0,2,4,0.5091187357902527
0,2,5,0.47132086753845215
0,2,6,0.4218400716781616
0,2,7,0.39091458916664124
0,2,8,0.47613146901130676
0,2,9,0.5640973448753357
0,2,10,-0.002182754222303629
0,2,11,0.4218400716781616
0,3,0,0.652063250541687
0,3,1,0.11258511245250702
0,3,2,0.5311102867126465
0,3,3,0.5091187357902527
0,3,4,0.47132086753845215
0,3,5,0.4218400716781616
0,3,6,0.39091458916664124
0,3,7,0.47613146901130676
0,3,8,0.5640973448753357
0,3,9,-0.002182754222303629
0,3,10,0.4218400716781616
0,3,11,0.39366358518600464
0,4,0,0.11258511245250702
0,4,1,0.5311102867126465
0,4,2,0.5091187357902527
0,4,3,0.47132086753845215
0,4,4,0.4218400716781616
0,4,5,0.39091458916664124
0,4,6,0.47613146901130676
0,4,7,0.5640973448753357
0,4,8,-0.002182754222303629
0,4,9,0.4218400716781616
0,4,10,0.39366358518600464
0,4,11,0.31050828099250793
0,5,0,0.5311102867126465
0,5,1,0.5091187357902527
0,5,2,0.47132086753845215
0,5,3,0.4218400716781616
0,5,4,0.39091458916664124
0,5,5,0.47613146901130676
0,5,6,0.5640973448753357
0,5,7,-0.002182754222303629
0,5,8,0.4218400716781616
0,5,9,0.39366358518600464
0,5,10,0.31050828099250793
0,5,11,0.7125397324562073
0,6,0,0.5091187357902527
0,6,1,0.47132086753845215
0,6,2,0.4218400716781616
0,6,3,0.39091458916664124
0,6,4,0.47613146901130676
0,6,5,0.5640973448753357
0,6,6,-0.002182754222303629
0,6,7,0.4218400716781616
0,6,8,0.39366358518600464
0,6,9,0.31050828099250793
0,6,10,0.7125397324562073
0,6,11,0.5826526284217834
0,7,0,0.47132086753845215
0,7,1,0.4218400716781616
0,7,2,0.39091458916664124
0,7,3,0.47613146901130676
0,7,4,0.5640973448753357
0,7,5,-0.002182754222303629
0,7,6,0.4218400716781616
0,7,7,0.39366358518600464
0,7,8,0.31050828099250793
0,7,9,0.7125397324562073
0,7,10,0.5826526284217834
0,7,11,0.5146165490150452
0,8,0,0.4218400716781616
0,8,1,0.39091458916664124
0,8,2,0.47613146901130676
0,8,3,0.5640973448753357
0,8,4,-0.002182754222303629
0,8,5,0.4218400716781616
0,8,6,0.39366358518600464
0,8,7,0.31050828099250793
0,8,8,0.7125397324562073
0,8,9,0.5826526284217834
0,8,10,0.5146165490150452
0,8,11,0.47613146901130676
0,9,0,0.39091458916664124
0,9,1,0.47613146901130676
0,9,2,0.5640973448753357
0,9,3,-0.002182754222303629
0,9,4,0.4218400716781616
0,9,5,0.39366358518600464
0,9,6,0.31050828099250793
0,9,7,0.7125397324562073
0,9,8,0.5826526284217834
0,9,9,0.5146165490150452
0,9,10,0.47613146901130676
0,9,11,0.234225332736969
0,10,0,0.47613146901130676
0,10,1,0.5640973448753357
0,10,2,-0.002182754222303629
0,10,3,0.4218400716781616
0,10,4,0.39366358518600464
0,10,5,0.31050828099250793
0,10,6,0.7125397324562073
0,10,7,0.5826526284217834
0,10,8,0.5146165490150452
0,10,9,0.47613146901130676
0,10,10,0.234225332736969
0,10,11,0.15411369502544403
0,11,0,0.5640973448753357
0,11,1,-0.002182754222303629
0,11,2,0.4218400716781616
0,11,3,0.39366358518600464
0,11,4,0.31050828099250793
0,11,5,0.7125397324562073
0,11,6,0.5826526284217834
0,11,7,0.5146165490150452
0,11,8,0.47613146901130676
0,11,9,0.234225332736969
0,11,10,0.15411369502544403
0,11,11,0.4046592712402344
0,12,0,-0.002182754222303629
0,12,1,0.4218400716781616
0,12,2,0.39366358518600464
0,12,3,0.31050828099250793
0,12,4,0.7125397324562073
